_corrupt_record,cast,country,date_added,description,director,duration,listed_in,rating,release_year,show_id,title,type
,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman",United States,"December 1, 2019","After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a \"Saturday Night Live\" sketch.",John Fortenberry,82 min,"Comedies, Cult Movies",PG-13,1998,s211,A Night at the Roxbury,Movie
,"Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr","Iran, France","March 16, 2019","Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad.",Asghar Farhadi,123 min,"Dramas, International Movies",PG-13,2011,s225,A Separation,Movie
,"Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon","Israel, United States","October 25, 2019","Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.",Natalie Portman,98 min,"Dramas, International Movies",PG-13,2015,s237,A Tale of Love and Darkness,Movie
,"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer",United States,"July 1, 2020","When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.",Brian Robbins,92 min,Comedies,PG-13,2012,s241,A Thousand Words,Movie
,"Nicholas Hoult, Toni Collette, Victoria Smurfit, Sharon Small, Natalia Tena, Isabel Brook, Hugh Grant, Rachel Weisz, Nicholas Hutchison","United Kingdom, United States, France, Germany","February 1, 2019","Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women.","Chris Weitz, Paul Weitz",101 min,"Comedies, Dramas, International Movies",PG-13,2002,s287,About a Boy,Movie
,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff","United States, United Kingdom","January 1, 2019","An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.",Julie Taymor,133 min,"Dramas, Music & Musicals, Romantic Movies",PG-13,2007,s298,Across the Universe,Movie
,"Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne","Hong Kong, Iceland, United States","September 1, 2020",A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,Baltasar Kormákur,96 min,"Action & Adventure, Dramas, Romantic Movies",PG-13,2018,s315,Adrift,Movie
,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",United States,"October 9, 2019","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",Jenny Gage,106 min,"Dramas, Romantic Movies",PG-13,2019,s324,After,Movie
,"Miriam Makeba, Hugh Masekela, Abdullah Ibrahim, Duma Ka Ndlovu, Sibongile Khumalo, Vusi Mahlasela, Thandi Modise, Sifiso Ntuli, Sibusiso Nxumalo, Dolly Rathebe, Lindiwe Zulu","South Africa, United States","September 28, 2020",This documentary recounts the fascinating and little-known role that music has played in the struggle to eradicate apartheid in South Africa.,Lee Hirsch,103 min,"Documentaries, International Movies, Music & Musicals",PG-13,2002,s444,Amandla! A Revolution in Four Part Harmony,Movie
,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino, Nikolaj Lie Kaas, Armin Mueller-Stahl, Thure Lindhardt, David Pasquesi, Cosimo Fusco","United States, Italy","December 1, 2020",A Harvard symbologist races to uncover clues that will help stop an attack on the Vatican by a secret society looking to retaliate for old persecutions.,Ron Howard,139 min,Thrillers,PG-13,2009,s522,Angels & Demons,Movie
,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Allen Covert, Lynne Thigpen, Kurt Fuller, Jonathan Loughran, Krista Allen, January Jones, Woody Harrelson, John Turturro, Kevin Nealon",United States,"November 1, 2019","After a gentle businessman is forced to get anger management counseling, his therapist moves in – but turns out to have anger issues of his own.",Peter Segal,105 min,Comedies,PG-13,2003,s523,Anger Management,Movie
,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michael Peña, Hannah John-Kamen, Laurence Fishburne, Michelle Pfeiffer, Walton Goggins, T.I., Judy Greer, Bobby Cannavale, David Dastmalchian, Abby Ryder Fortson, Randall Park",United States,"January 29, 2019","Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission.",Peyton Reed,118 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",PG-13,2018,s547,Ant-Man and the Wasp,Movie
,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa, Andrew Airlie","United States, Canada","March 9, 2019","This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon.",Gonzalo López-Gallego,87 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",PG-13,2011,s563,Apollo 18,Movie
,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Geraldine James, Luis Guzmán, Nick Nolte, Christina Jacquelyn Calph, Murphy Guyer, José Ramón Rosario",United States,"April 1, 2019",Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.,Jason Winer,110 min,"Comedies, Romantic Movies",PG-13,2011,s588,Arthur,Movie
,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich, Shirley Knight, Yeardley Smith, Lupe Ontiveros",United States,"January 1, 2020","The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",James L. Brooks,139 min,"Comedies, Romantic Movies",PG-13,1997,s593,As Good as It Gets,Movie
,"",United States,"June 24, 2020",This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.,"Bonni Cohen, Jon Shenk",104 min,"Documentaries, Sports Movies",PG-13,2020,s612,Athlete A,Movie
,"Samantha Mathis, Jason Beghe, Esai Morales, Patrick Fabian, Kim Rhodes, Richard T. Jones, D.B. Sweeney, Paul McCrane, John Rubinstein, Robert Picardo",United States,"December 19, 2020","With the world's economy in dire straits, corporate protagonist Dagny Taggart searches for a solution amid the rubble of a long-abandoned factory.",John Putch,112 min,Dramas,PG-13,2012,s614,Atlas Shrugged: Part II,Movie
,"Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage",United States,"December 1, 2019","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember.",Jay Roach,94 min,"Action & Adventure, Comedies",PG-13,2002,s626,Austin Powers in Goldmember,Movie
,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell",United States,"December 1, 2019","A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.",Jay Roach,90 min,Comedies,PG-13,1997,s627,Austin Powers: International Man of Mystery,Movie
,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell",United States,"December 1, 2019","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's \"mojo,\" Austin must return to the swingin' '60s himself.",Jay Roach,95 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",PG-13,1999,s628,Austin Powers: The Spy Who Shagged Me,Movie
,"Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland",United States,"December 25, 2018",Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.,"Anthony Russo, Joe Russo",150 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2018,s636,Avengers: Infinity War,Movie
,"Hailee Steinfeld, Jessica Alba, Samuel L. Jackson, Sophie Turner, Dove Cameron, Toby Sebastian, Gabriel Basso, Thomas Mann, Rachael Harris, Dan Fogler, Steve-O, Rob Huebel, Finesse Mitchell, Jaime King",United States,"July 26, 2018",A girl raised to be a government assassin just wants to be a normal teen – so she runs away and pretends to be a high school exchange student.,Kyle Newman,99 min,"Action & Adventure, Comedies",PG-13,2015,s753,Barely Lethal,Movie
,Steve Young,United States,"May 9, 2019","A comedy writer for David Letterman unearths a hidden world of hilariously bizarre musicals, which turns into a toe-tapping obsession.",Dava Whisenant,87 min,"Documentaries, Music & Musicals",PG-13,2018,s764,Bathtubs Over Broadway,Movie
,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed, Harris Yulin, Burt Reynolds, Larry Drake, Danny Goldring, Johnny Galecki, Chris Ellis, Andrew Lawrence, Peter Egan, Peter Capaldi, June Brown, Peter James, Sandra Oh","United Kingdom, United States","August 1, 2018","Disaster-prone Mr. Bean is sent to Los Angeles to guard a famous painting, but as he's unfit for any physical task, everything goes hilariously wrong.",Mel Smith,89 min,"Comedies, International Movies",PG-13,1997,s782,Bean: The Ultimate Disaster Movie,Movie
,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman",United States,"November 20, 2019","After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.",Mike Judge,81 min,"Comedies, Cult Movies",PG-13,1996,s795,Beavis and Butt-head Do America,Movie
,"Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter",United States,"November 20, 2019","When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids.",Bruce W. Smith,73 min,Comedies,PG-13,1992,s796,Bebe's Kids,Movie
,"Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith, Laurence Fox, Ian Richardson","United Kingdom, Ireland","January 12, 2019",A passionate romance with roguish barrister Tom Lefroy serves as the inspiration for the works of budding novelist Jane Austen.,Julian Jarrold,121 min,"Dramas, Romantic Movies",PG-13,2007,s802,Becoming Jane,Movie
,"Zoey Deutch, Halston Sage, Erica Tremblay, Logan Miller, Cynthy Wu, Kian Lawley, Jennifer Beals, Medalion Rahimi, Diego Boneta, Elena Kampouris, Liv Hewson, G. Hannelius, Nicholas Lea, Claire Margaret Corlett, Roan Curtis",United States,"June 8, 2020","Forced to continually relive the day she dies in a car crash, a privileged high schooler must unravel the cosmic mystery of her suddenly looping life.",Ry Russo-Young,98 min,"Dramas, Romantic Movies",PG-13,2017,s807,Before I Fall,Movie
,"Kate Bosworth, Thomas Jane, Jacob Tremblay, Annabeth Gish, Dash Mihok, Jay Karnes, Lance E. Nichols",United States,"January 5, 2018","Still mourning the death of their son, Mark and Jessie welcome foster child Cody into their lives. Soon they discover he has a strange ability.",Mike Flanagan,97 min,"Horror Movies, Thrillers",PG-13,2016,s808,Before I Wake,Movie
,"Chris Klein, Jon Lovitz, Chelsey Reist, Lochlyn Munro, Liam Hughes, Jill Morrison, Zak Santiago, Garfield Wilson, Jonathan Silverman",United States,"December 31, 2019",A rookie lawyer with an emasculating past in baseball can break into the legal world only if he manages a law firm's ragtag company softball team.,Jon Rosenbaum,90 min,"Comedies, Sports Movies",PG-13,2019,s832,Benchwarmers 2: Breaking Balls,Movie
,"Michael Roark, Trace Adkins, Ali Afshar, Allison Paige, Tony Panterra, Brando Eaton, Hunter Clowdus, Michael King",United States,"May 2, 2020",A medically discharged soldier attempts an improbable return to motorcycle racing to win enough prize money to save his father's farm.,Alex Ranarivelo,94 min,"Dramas, Sports Movies",PG-13,2019,s838,Bennett's War,Movie
,"Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse, Dylan Sprouse, Josh Mostel, Leslie Mann, Allen Covert, Rob Schneider, Kristy Swanson",United States,"October 1, 2020","Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.",Dennis Dugan,93 min,Comedies,PG-13,1999,s902,Big Daddy,Movie
,"Ashley Judd, Patrick Wilson, Whoopi Goldberg, John Benjamin Hickey, Jane Krakowski, Judith Ivey, Jasmine Guy, Chris Sarandon, Anthony LaPaglia, Jenna Elfman, Angelina Fiordellisi, Mary Testa, Dagmara Dominczyk, Mary Pat Gleason, Joe Inscoe, James Hampton, Paul Wilson",United States,"June 5, 2020",A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.,Adriana Trigiani,103 min,"Comedies, Romantic Movies",PG-13,2014,s908,Big Stone Gap,Movie
,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,"September 4, 2018","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",Ryan Coogler,135 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2018,s960,Black Panther,Movie
,"",United States,"May 1, 2020","This fascinating documentary examines the life of performing killer whale Tilikum, who has caused the deaths of several people while in captivity.",Gabriela Cowperthwaite,83 min,Documentaries,PG-13,2013,s968,Blackfish,Movie
,"Anthony Hopkins, Julia Stiles, Alexander Ludwig, Ray Liotta, Hal Holbrook, Lochlyn Munro, Steve Bacic, Aaron Pearl, Aleks Paunovic",United States,"December 15, 2017","Menaced by a psychopath who's got the local cops scared, waitress Lillian turns to a mysterious old logger to help her turn the tables on her stalker.",Daniel Alfredson,90 min,Thrillers,PG-13,2015,s970,Blackway,Movie
,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Louis C.K., Bobby Cannavale, Andrew Dice Clay, Peter Sarsgaard, Michael Stuhlbarg, Tammy Blanchard, Max Casella, Alden Ehrenreich",United States,"March 8, 2019",The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.,Woody Allen,98 min,"Comedies, Dramas, Independent Movies",PG-13,2013,s998,Blue Jasmine,Movie
,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe","Germany, United States","January 1, 2021",A jewel thief returns to his hiding place after a stint in jail — only to find that his diamond is buried under a newly constructed police station.,Les Mayfield,94 min,"Action & Adventure, Comedies",PG-13,1999,s1003,Blue Streak,Movie
,"Chloë Grace Moretz, Thomas Mann, Richard Armitage, Jenny Slate, Carrie-Anne Moss, Tyler Perry, Alex Zahara","United States, Canada, Ireland","June 22, 2018","Stricken with seizures, psychosis and memory loss, a young New York Post reporter visits doctor after doctor in search of an elusive diagnosis.",Gerard Barrett,89 min,"Dramas, Independent Movies, International Movies",PG-13,2016,s1075,Brain on Fire,Movie
,"Cristine Prosperi, Jordan Rodrigues, Gia Re, Sophie Vavasseur, Sven Ruygrok, Stephan Lee Benson, Natalie Walsh, Vivica A. Fox",United States,"August 29, 2017","When cheerleading champs the Rebels are challenged by an edgy new squad, they take on teams from all over the world in a virtual cheer battle.",Robert Adetuyi,95 min,Comedies,PG-13,2017,s1107,Bring It On: Worldwide Showdown,Movie
,"",United States,"September 29, 2020",This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.,Lee Hirsch,98 min,Documentaries,PG-13,2012,s1138,Bully,Movie
,"Cher, Christina Aguilera, Alan Cumming, Eric Dane, Cam Gigandet, Julianne Hough, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron",United States,"December 16, 2019","After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",Steve Antin,119 min,"Dramas, Romantic Movies",PG-13,2010,s1142,Burlesque,Movie
,"Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli, Seth Green, Michelle Brookhurst, Alexander Martin, Erik Palladino, Channon Roe, Sean Patrick Thomas",United States,"January 1, 2021","At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.","Harry Elfont, Deborah Kaplan",101 min,"Comedies, Romantic Movies",PG-13,1998,s1195,Can't Hardly Wait,Movie
,"Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,"November 20, 2019","As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.","Àlex Pastor, David Pastor",85 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",PG-13,2009,s1229,Carriers,Movie
,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas","August 31, 2020","Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table.",Martin Campbell,145 min,Action & Adventure,PG-13,2006,s1235,Casino Royale,Movie
,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada","January 1, 2021","An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",Steven Spielberg,141 min,Dramas,PG-13,2002,s1243,Catch Me If You Can,Movie
,"Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik",United States,"January 1, 2020","Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",Nicholas Hytner,116 min,Dramas,PG-13,2000,s1257,Center Stage,Movie
,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore","United States, Sweden","October 1, 2018",Senator Ted Kennedy watches his future unravel in the wake of an infamous car crash as family and allies vie to protect his reputation.,John Curran,106 min,Dramas,PG-13,2017,s1276,Chappaquiddick,Movie
,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson","United States, Germany","October 1, 2019","Three beauties use their looks, charm and martial-arts training to kick butt on the trail of stolen software in this reboot of the classic TV series.",McG,98 min,"Action & Adventure, Comedies",PG-13,2000,s1281,Charlie's Angels,Movie
,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese",United States,"October 1, 2019","In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection.",McG,106 min,"Action & Adventure, Comedies",PG-13,2003,s1282,Charlie's Angels: Full Throttle,Movie
,"John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit, Orlando Jones, Willem Dafoe, Salma Hayek, Michael Cerveris, Jane Krakowski, Frankie Faison, Patrick Breen, Colleen Camp, Don McManus, Jessica Carlson, Kristen Schaal",United States,"April 16, 2018","When Darren Shan is taken to a circus that's chock-full of sideshow oddities, he meets a vampire and receives a life-changing bite on the neck.",Paul Weitz,109 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",PG-13,2009,s1397,Cirque du Freak: The Vampire's Assistant,Movie
,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans","United States, United Kingdom, Australia","August 1, 2019","If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies.",Louis Leterrier,106 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2010,s1409,Clash of the Titans,Movie
,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Joseph Castanon, Jonah Hill, Jake Hoffman, Jennifer Coolidge",United States,"January 1, 2020",Overworked Michael Newman stumbles on a universal remote control that gives him the power to pause or fast-forward through scenes in his life.,Frank Coraci,108 min,"Comedies, Sci-Fi & Fantasy",PG-13,2006,s1417,Click,Movie
